TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
996,7368,7368,7593,13488,19375,20399,22431,22463,12528,19791,20863,22687,23071,node0
997,7934,7934,8161,12920,19375,20447,21999,22479,13032,19855,21471,22687,22735,node0
998,8062,8062,7859,13344,18895,20431,21967,22495,13120,19439,20527,22719,23263,node0
999,8201,8201,8180,13296,19391,20399,22015,22495,13112,19039,20671,22303,23199,node0
1000,7965,7965,8000,13288,18815,20415,22479,22543,13184,19455,20623,22783,22879,node0
1001,8009,8009,7977,13320,18783,20975,22047,22063,12792,19535,20303,22895,22943,node0
1002,7812,7812,7818,13328,19311,20431,22047,22575,12888,19935,20815,23023,23439,node0
1003,7815,7815,7805,13016,19247,21103,22719,22767,13144,19535,20239,23199,23759,node0
1004,7841,7841,7937,13504,19407,20447,22143,22703,13632,19727,20703,22335,22799,node0
1005,7947,7947,7863,14016,19375,20463,22095,22687,13248,19663,20351,22815,22879,node0
1006,8126,8126,8404,13544,19407,20511,22655,22671,13800,19375,20783,23487,23567,node0
1007,8280,8280,8196,13688,18943,20127,22159,22719,13960,19759,20527,23135,23679,node0
1008,8208,8208,8001,13688,19535,20639,22255,22303,13656,19727,20591,23167,23215,node0
1009,7934,7934,7973,13704,19567,20671,22255,22831,14200,19551,21151,22895,23391,node0
1010,7907,7907,7875,13752,19583,20735,22751,23295,13288,19791,20351,23423,23983,node0
1011,8338,8338,8551,13800,19679,20735,22815,22847,13408,20047,20751,23039,23103,node0
1012,8221,8221,8004,14392,19695,20751,22895,22943,14040,19823,20959,23183,23231,node0
1013,8000,8000,7996,14408,19727,21311,22927,23471,14184,19439,21103,23679,23775,node0
1014,7833,7833,7883,14496,19231,20863,23007,23071,14280,19967,21679,23407,23903,node0
1015,8027,8027,8194,14472,19775,20895,23039,23055,14832,19359,20895,23983,24031,node0
1016,7969,7969,7762,13864,19359,20911,22527,23551,13488,19903,21855,23071,24511,node0
1017,7771,7771,7619,13832,19855,20895,22495,23055,13976,19519,21039,23183,23631,node0
1018,7649,7649,7686,13808,19887,20975,23023,23535,13544,19919,20991,23727,24239,node0
1019,7764,7764,7548,14304,19407,20463,22527,23055,14576,19887,20639,22783,23327,node0
1020,7654,7654,7735,14304,19903,20511,23135,23167,13280,20015,21199,23423,23455,node0
1021,7909,7909,7786,13704,19231,21039,23135,23631,13760,19823,21263,23471,23919,node0
