TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
3125,12064,12064,12195,10640,14031,22191,26655,27279,11008,14103,22815,26831,28175,node2
3126,12626,12626,12402,10568,13815,22159,26623,27263,10200,13495,23039,27359,27983,node2
3127,12283,12283,12220,10400,13807,21423,26431,26511,10072,14071,22767,26575,27183,node2
3128,12265,12265,12006,10464,13783,22607,26383,27055,10112,13719,23423,26495,27775,node2
3129,11760,11760,12379,10536,13887,21983,26479,27119,10640,13983,22703,27119,27775,node2
3130,12439,12439,12393,10624,13783,21967,26463,26527,9888,13935,22015,26415,27023,node2
3131,12769,12769,12245,10048,13927,21903,26383,27103,10328,14143,22847,26767,27615,node2
3132,12116,12116,12376,10472,13975,21887,26367,26959,10240,13935,22063,26783,27359,node2
3133,11887,11887,12252,10352,13719,22415,26191,26799,9888,13519,22623,26463,26575,node2
3134,12139,12139,12127,10288,13639,21711,25439,26703,10440,13727,21855,25679,27135,node2
3135,12136,12136,12173,10176,13519,20927,25839,25887,9688,13191,21423,26239,26831,node2
3136,12441,12441,12235,10160,13311,21951,25167,26415,10112,12999,21999,25775,26031,node2
3137,12655,12655,12623,10104,13271,21327,25183,25791,10088,13191,22239,25263,25791,node2
3138,12467,12467,12396,10040,13551,21343,25727,26383,10176,13455,21503,26047,26495,node2
3139,11930,11930,12173,10056,13543,20767,25711,25775,9576,13631,20767,25695,26255,node2
3140,12369,12369,12200,10024,13311,21247,26223,26367,10048,13375,21599,25935,26367,node2
3141,12415,12415,12002,10192,13327,21263,25663,26271,9920,13095,22143,26559,27199,node2
3142,12512,12512,12433,10072,13215,21279,25647,26831,9584,13231,21423,25807,27759,node2
3143,12082,12082,12167,10368,13319,21247,25615,26815,10392,13559,21631,25535,27599,node2
3144,12028,12028,12413,10392,13327,21295,25423,25615,10000,13439,21503,25695,25903,node2
3145,12646,12646,12398,10512,13607,20751,25183,25599,10040,13687,21775,25375,25983,node2
3146,11965,11965,12387,10696,13847,22223,25231,25839,10712,13623,22255,25631,26047,node2
3147,12412,12412,12220,10720,14007,20831,25791,25839,10696,13791,22831,25903,26207,node2
3148,12214,12214,12233,10704,14031,21951,25807,26415,10000,13967,22063,26015,26399,node2
3149,12284,12284,12241,10352,13983,20911,26447,26559,10424,13911,21311,26703,27343,node2
3150,12072,12072,12306,10752,14055,21551,25759,25775,10400,13503,22175,26255,26543,node2
3151,12214,12214,12232,10264,13831,22127,26303,26351,9992,13703,21455,25743,27119,node2
3152,12397,12397,12194,10728,13839,21615,25727,26351,10728,13799,21983,26703,26975,node2
3153,12626,12626,12227,10656,13967,21807,25855,26319,10360,14151,21247,25615,26255,node2
3154,12252,12252,12365,10080,13975,21887,25871,26479,9768,14111,22159,25615,26879,node2
3155,12265,12265,12272,10528,14095,22559,26031,26575,10472,14263,22783,26143,26719,node2
3156,12193,12193,12192,10432,13975,21807,26063,26575,10176,14199,22031,26303,26959,node2
3157,12206,12206,12322,10568,13695,21919,26159,27407,11000,13583,22863,26943,28223,node2
3158,12032,12032,12396,10584,13967,22527,26767,26927,10496,13847,23503,26911,27599,node2
3159,12241,12241,12600,10768,13831,23263,26367,27535,10776,14055,22863,26863,28207,node2
3160,12765,12765,12600,10728,13823,22159,25839,27663,10408,14079,22271,26175,28143,node2
3161,12505,12505,12415,10856,13911,22799,26463,27135,10528,14303,22447,26815,27487,node2
3162,12928,12928,12218,10824,14071,22271,25951,25983,10552,14279,23375,26143,26783,node2
3163,12038,12038,12404,10960,14239,22911,26591,27231,10816,14359,23071,26079,28031,node2
3164,12306,12306,12363,10960,14183,22655,26063,26719,10504,14199,22991,26719,27375,node2
3165,12712,12712,12426,10984,14175,22863,26079,27359,10520,14255,23615,26623,28015,node2
3166,12202,12202,12234,10456,14279,22735,26623,27183,10576,14063,22863,27199,27759,node2
