TimeElapsed (s),MessageSentCount,MessageSentThroughput (KB/s),MessageReceivedCount,PublishLatencyMinValue (ms),PublishLatencyValueAtPercentile50 (ms),PublishLatencyValueAtPercentile75 (ms),PublishLatencyValueAtPercentile95 (ms),PublishLatencyValueAtPercentile99 (ms),EndToEndLatencyMinValue (ms),EndToEndLatencyValueAtPercentile50 (ms),EndToEndLatencyValueAtPercentile75 (ms),EndToEndLatencyValueAtPercentile95 (ms),EndToEndLatencyValueAtPercentile99 (ms),masternode
2114,10820,10820,10160,11928,16247,16399,17407,17487,12456,16351,16431,17343,17359,node1
2115,9731,9731,10239,11632,16215,16767,17903,18319,12392,16527,17103,18847,19071,node1
2116,10305,10305,9812,11536,15791,17199,17871,18351,11592,16351,16991,18111,19311,node1
2117,10091,10091,10618,11944,16543,17071,18287,18719,12336,16127,17311,18527,18959,node1
2118,9297,9297,9442,12032,16159,17135,17871,17871,12280,16263,17199,18383,18399,node1
2119,10261,10261,9524,11752,16247,17103,17983,18351,12120,16415,17295,18575,19023,node1
2120,10176,10176,9799,12120,16263,17151,18383,18799,12864,16719,17263,18575,18991,node1
2121,9377,9377,10428,12504,16607,17135,17999,18031,13256,16239,17183,18399,18415,node1
2122,10252,10252,9885,12128,16263,17487,17967,18415,12544,16543,17471,18815,19279,node1
2123,10056,10056,10484,12152,16271,17071,18303,18719,12160,16303,17199,18463,18895,node1
2124,10304,10304,10053,12192,15919,17311,18351,18447,12592,16359,17023,18959,19183,node1
2125,10495,10495,9828,12632,16687,16847,18431,18431,13448,16447,16495,19311,19359,node1
2126,9732,9732,10115,12240,15959,16847,18047,18815,12904,16071,16911,19007,19407,node1
2127,10126,10126,10022,12232,16303,17311,18447,18863,12768,16039,17327,18719,19167,node1
2128,9694,9694,9821,12360,16119,17007,18207,18879,12952,16359,17487,18783,19055,node1
2129,9909,9909,10018,12296,16103,16959,18223,18591,13160,16623,17167,18351,19471,node1
2130,10057,10057,9778,12376,16479,17055,18671,19119,12664,16527,17311,18751,18815,node1
2131,8829,8829,8931,14904,16303,17967,18367,18367,14280,16351,18319,18431,18431,node1
2132,10369,10369,10020,12856,16639,17055,18719,18799,13032,16543,17215,18719,19151,node1
2133,10206,10206,10847,11936,16671,17487,18671,19183,12088,16863,17983,18687,19567,node1
2134,10452,10452,10019,12288,16671,17487,18351,18783,12440,16751,17295,18895,19055,node1
2135,9277,9277,10345,12456,16591,17119,18303,18399,12824,16687,17167,18511,18927,node1
2136,10328,10328,10047,12816,14511,17375,18799,18815,13200,16359,17215,19343,19343,node1
2137,10791,10791,10241,11984,16495,17407,18719,19183,12040,16639,17519,19567,19967,node1
2138,10236,10236,10901,12344,16111,16927,17839,18207,13032,16575,17199,18399,18783,node1
2139,11202,11202,10035,12272,16463,16943,18575,19007,12864,16279,17343,19151,19583,node1
2140,9543,9543,10525,12672,16087,16943,18559,18575,13280,16247,17183,18319,19407,node1
2141,11009,11009,10152,11760,16055,16927,18591,18975,11952,16655,17519,18671,19807,node1
2142,9896,9896,10746,12152,16031,16927,17791,19343,12328,16015,17071,18479,19407,node1
2143,10884,10884,10309,12568,15127,16047,18559,18575,14240,15415,16375,19327,19343,node1
2144,10187,10187,10032,11568,15927,16815,18095,18895,11616,15991,16879,18479,18943,node1
2145,9825,9825,10504,11536,15935,16751,18031,18431,12064,16207,17007,18751,19151,node1
2146,11185,11185,10706,11840,16263,17039,17119,18447,12376,16239,17183,17391,17423,node1
2147,9746,9746,10482,11880,15727,16991,17919,18767,12464,16015,17071,18239,18815,node1
2148,10683,10683,9952,11920,15687,16575,17887,18271,12560,16095,17471,18655,19039,node1
2149,10369,10369,10434,12288,16103,16543,17343,18607,12336,16183,17311,18303,19407,node1
2150,10512,10512,10328,11504,16095,16943,17759,18639,11784,16087,17135,18207,19423,node1
2151,10480,10480,10874,11456,15591,16895,17663,18063,11912,16151,17119,18431,18847,node1
2152,10215,10215,10146,11832,15527,17183,17647,18031,11968,15871,16959,17935,18095,node1
2153,10187,10187,10689,12168,16311,16375,17983,17999,12304,16271,17327,17375,17375,node1
2154,9987,9987,10157,11832,15895,16863,17615,18399,12672,15975,17183,18207,18495,node1
2155,11091,11091,9941,11872,15647,16943,17663,18095,12496,16223,17423,18623,19071,node1
2156,9542,9542,10446,11896,15263,17279,17343,17359,12352,16271,17311,18191,18191,node1
2157,11056,11056,10050,11928,16015,17199,17711,18463,11992,16463,17167,18239,19439,node1
